# Block number	x	y	z	WCT (tonnes)	Moisture	DPT (tonnes)	RECOVERY	Pit name	SiO2	AL2O3	HAUL Distance (km)	"RESOURCE (0=LMB, 1=Mono Internal, 2 =Mono External"	Empty Haul (minutes)	Full Haul (minutes)			Starting row			
71	-10516	4913	25	10810	0.1300	6912	0.73	WTH2	0.09	0.57	3.51	2	8.6	8.9						
72	-10466	4913	25	18507	0.1300	12682	0.79	WTH2	0.10	0.56	3.48	2	8.3	10.4						
73	-10416	4913	25	20580	0.1300	13038	0.73	WTH2	0.09	0.56	3.09	2	6.4	9.0						
74	-10366	4913	25	21728	0.1300	14680	0.78	WTH2	0.10	0.55	3.08	2	8.1	8.2						
75	-10316	4913	25	20522	0.1300	14288	0.80	WTH2	0.10	0.54	3.08	2	8.1	8.3						
76	-10266	4913	25	18741	0.1300	12472	0.76	WTH2	0.09	0.55	3.10	2	8.2	8.1						
77	-10216	4913	25	18203	0.1300	12762	0.81	WTH2	0.11	0.54	3.13	2	7.6	6.7						
78	-9866	4913	25	10374	0.1299	6780	0.75	WTH2	0.11	0.53	3.46	2	8.9	8.4						
79	-9816	4913	25	10826	0.1300	7274	0.77	WTH2	0.11	0.53	3.51	2	7.1	9.9						
80	-9766	4913	25	11676	0.1300	8466	0.83	WTH2	0.11	0.53	3.57	2	7.4	9.1						
81	-9716	4913	25	14396	0.1300	9935	0.79	WTH2	0.10	0.54	3.60	2	7.8	8.2						
82	-9666	4913	25	13152	0.1300	7703	0.67	WTH2	0.09	0.55	3.61	2	7.5	8.2						
83	-9616	4913	25	13013	0.1300	8258	0.73	WTH2	0.09	0.55	3.68	2	8.7	8.0						
84	-9566	4913	25	15012	0.1300	9240	0.71	WTH2	0.09	0.56	3.72	2	7.4	7.9						
85	-9516	4913	25	13152	0.1300	7721	0.67	WTH2	0.09	0.56	3.75	1	8.3	8.5						
86	-9466	4913	25	10119	0.1300	6249	0.71	WTH2	0.15	0.53	3.80	2	9.2	8.4						
87	-10816	4863	25	10707	0.1301	6250	0.67	WTH2	0.05	0.60	2.63	2	6.1	6.4						
88	-10766	4863	25	2615	0.1300	1504	0.66	WTH2	0.05	0.60	2.66	2	5.5	7.1						
89	-10716	4863	25	2196	0.1300	1285	0.67	WTH2	0.10	0.56	2.69	2	5.3	7.6						
90	-10566	4863	25	5792	0.1299	3756	0.75	WTH2	0.09	0.57	3.16	2	8.6	7.4						
91	-10516	4863	25	18394	0.1300	12373	0.77	WTH2	0.10	0.56	3.12	2	6.4	7.2						
92	-10466	4863	25	20178	0.1300	13309	0.76	WTH2	0.09	0.57	3.07	2	6.8	7.6						
93	-10416	4863	25	22210	0.1300	13974	0.72	WTH2	0.08	0.57	3.04	2	7.0	6.9						
94	-10366	4863	25	22538	0.1300	14738	0.75	WTH2	0.09	0.56	3.02	2	7.8	6.3						
95	-10316	4863	25	21756	0.1300	14901	0.79	WTH2	0.09	0.55	3.02	2	5.9	6.9						
96	-10266	4863	25	19905	0.1300	13352	0.77	WTH2	0.10	0.54	3.05	2	6.0	6.4						
97	-10216	4863	25	18708	0.1300	12775	0.78	WTH2	0.11	0.54	3.08	2	6.1	9.0						
98	-10166	4863	25	15139	0.1300	9861	0.75	WTH2	0.11	0.53	3.13	2	7.1	7.0						
99	-10116	4863	25	10364	0.1300	6724	0.75	WTH2	0.10	0.53	3.18	2	6.4	7.1						
